ID	x	y	Tribe	VID	Village	User_ID	Player	AID	Alliance	Pop	Pop_d-1	difference1	distance	links
355212	-32	-43	2	2241	ReaLMasteR	1584	ReaLMasteR	0		41	51	-10	140	https://latesummer1x.travian.com/karte.php?x=-32&y=-43
300024	49	26	3	2358	ultrasur`s village	1770	ultrasur	0		24	60	-36	141	https://latesummer1x.travian.com/karte.php?x=49&y=26
301622	45	24	1	1753	Miito	805	CorbinDelacroix	0		33	50	-17	141	https://latesummer1x.travian.com/karte.php?x=45&y=24
302418	40	23	3	1276	WANTED	841	WANTED	0		43	57	-14	141	https://latesummer1x.travian.com/karte.php?x=40&y=23
304816	35	20	3	737	Pound Town	439	ploppy	0		34	34	0	141	https://latesummer1x.travian.com/karte.php?x=35&y=20
320802	1	0	1	15	Multihunter`s village	2	Multihunter	1	TG-TS	20	20	0	141	https://latesummer1x.travian.com/karte.php?x=1&y=0
344806	-25	-30	1	707	99 Minato	418	varelabovie	0		34	34	0	141	https://latesummer1x.travian.com/karte.php?x=-25&y=-30
354410	-33	-42	3	2202	SNAPUSWIPE	1539	tainanbombonato	0		36	55	-19	141	https://latesummer1x.travian.com/karte.php?x=-33&y=-42
301619	42	24	3	1438	01 Pipette	902	Labormaus	21	KGB	99	126	-27	142	https://latesummer1x.travian.com/karte.php?x=42&y=24
304813	32	20	1	543	01 ICE	346	ICE_COLD	0		100	133	-33	142	https://latesummer1x.travian.com/karte.php?x=32&y=20
306411	28	18	1	195	pi1993`s village	154	pi1993	0		20	20	0	142	https://latesummer1x.travian.com/karte.php?x=28&y=18
338402	-21	-22	1	49	Neutron`s village	41	Neutron	0		44	44	0	142	https://latesummer1x.travian.com/karte.php?x=-21&y=-22
340003	-22	-24	3	199	Pochomp`s village	145	Pochomp	0		12	12	0	142	https://latesummer1x.travian.com/karte.php?x=-22&y=-24
341603	-24	-26	1	435	1	278	klingenmeister	0		25	25	0	142	https://latesummer1x.travian.com/karte.php?x=-24&y=-26
342403	-25	-27	2	561	Itak	339	Picsou	0		85	102	-17	142	https://latesummer1x.travian.com/karte.php?x=-25&y=-27
344004	-26	-29	1	710	Spawn	413	bill30097	0		97	194	-97	142	https://latesummer1x.travian.com/karte.php?x=-26&y=-29
347206	-28	-33	3	1006	Zugzwang	678	GlobelFantasy	0		55	83	-28	142	https://latesummer1x.travian.com/karte.php?x=-28&y=-33
348006	-29	-34	2	1227	arekli	815	arekli	0		37	37	0	142	https://latesummer1x.travian.com/karte.php?x=-29&y=-34
350407	-31	-37	1	1457	Sphinx	936	Sphinx	0		91	115	-24	142	https://latesummer1x.travian.com/karte.php?x=-31&y=-37
351207	-32	-38	1	1681	Stamford Bridge	1203	Voltaire	32	Gl4dius	98	124	-26	142	https://latesummer1x.travian.com/karte.php?x=-32&y=-38
355210	-34	-43	2	2336	01	1729	mohammad king	0		34	36	-2	142	https://latesummer1x.travian.com/karte.php?x=-34&y=-43
356811	-35	-45	3	2605	crea`s village	893	crea	0		8	8	0	142	https://latesummer1x.travian.com/karte.php?x=-35&y=-45
298422	49	28	1	2399	00	1814	June Miller	0		42	76	-34	143	https://latesummer1x.travian.com/karte.php?x=49&y=28
299220	46	27	3	2186	00 ♛	1513	tourist	0		45	58	-13	143	https://latesummer1x.travian.com/karte.php?x=46&y=27
301616	39	24	2	1225	A 01	627	TheDarthOne	0		9	9	0	143	https://latesummer1x.travian.com/karte.php?x=39&y=24
347204	-30	-33	2	1239	00	818	OnlyFans	0		40	65	-25	143	https://latesummer1x.travian.com/karte.php?x=-30&y=-33
352807	-34	-40	2	2078	Mr.Shadow`s village	1424	Mr.Shadow	25	CRARES	71	91	-20	143	https://latesummer1x.travian.com/karte.php?x=-34&y=-40
298418	45	28	1	2103	Tushy Pushies	1428	Mister Farts	24	F.A.R.T.	75	93	-18	144	https://latesummer1x.travian.com/karte.php?x=45&y=28
302410	32	23	2	732	Fabiobruno`s village	484	Fabiobruno	0		14	14	0	144	https://latesummer1x.travian.com/karte.php?x=32&y=23
303209	30	22	3	477	The Hunger	290	Conman3114	24	F.A.R.T.	47	66	-19	144	https://latesummer1x.travian.com/karte.php?x=30&y=22
340800	-26	-25	3	501	Massawa	314	Eritrea	0		74	96	-22	144	https://latesummer1x.travian.com/karte.php?x=-26&y=-25
344002	-28	-29	2	803	Sara	519	MyNameIs	0		54	70	-16	144	https://latesummer1x.travian.com/karte.php?x=-28&y=-29
344802	-29	-30	2	929	-001-	598	Mr Pickles	27	HL	100	164	-64	144	https://latesummer1x.travian.com/karte.php?x=-29&y=-30
345602	-30	-31	2	1008	Yavuz	679	DeepBreath	0		76	86	-10	144	https://latesummer1x.travian.com/karte.php?x=-30&y=-31
348004	-31	-34	1	1307	Hogtowne	878	calder	33	temp	85	115	-30	144	https://latesummer1x.travian.com/karte.php?x=-31&y=-34
351205	-34	-38	1	1847	Ragnar`s village	1281	Ragnar	0		56	91	-35	144	https://latesummer1x.travian.com/karte.php?x=-34&y=-38
355207	-37	-43	1	2546	Raido 0	1925	Raido	0		15	79	-64	144	https://latesummer1x.travian.com/karte.php?x=-37&y=-43
296820	49	30	1	2506	Cikor`s village	1898	Cikor	0		8	10	-2	145	https://latesummer1x.travian.com/karte.php?x=49&y=30
297619	47	29	2	2356	duranemmi`s village	1771	duranemmi	0		15	15	0	145	https://latesummer1x.travian.com/karte.php?x=47&y=29
300811	35	25	1	985	Bishop`s village	680	VitorBispo	0		17	26	-9	145	https://latesummer1x.travian.com/karte.php?x=35&y=25
304006	26	21	2	255	00 Black	164	Black Flame	0		34	34	0	145	https://latesummer1x.travian.com/karte.php?x=26&y=21
305605	23	19	2	19	FireBat	7	FireBat	0		83	94	-11	145	https://latesummer1x.travian.com/karte.php?x=23&y=19
339199	-25	-23	2	332	Queen`s village	187	Queen	0		63	75	-12	145	https://latesummer1x.travian.com/karte.php?x=-25&y=-23
344000	-30	-29	1	932	Rat88`s village	358	Rat88	0		12	12	0	145	https://latesummer1x.travian.com/karte.php?x=-30&y=-29
349603	-34	-36	2	1760	pirates	1245	pirates	0		30	30	0	145	https://latesummer1x.travian.com/karte.php?x=-34&y=-36
353605	-37	-41	3	2360	Nasta	1779	jaaaaaa	0		40	46	-6	145	https://latesummer1x.travian.com/karte.php?x=-37&y=-41
296816	45	30	3	2226	3Q9527`s village	1488	3Q9527	0		17	17	0	146	https://latesummer1x.travian.com/karte.php?x=45&y=30
300809	33	25	1	814	01.	504	Mau	0		13	13	0	146	https://latesummer1x.travian.com/karte.php?x=33&y=25
335997	-23	-19	1	38	Ukkonen	37	Ukko	0		42	42	0	146	https://latesummer1x.travian.com/karte.php?x=-23&y=-19
340798	-28	-25	3	674	Gumiflex`s village	419	Gumiflex	0		13	13	0	146	https://latesummer1x.travian.com/karte.php?x=-28&y=-25
348001	-34	-34	2	1511	Tangamandápio	1028	NJC	0		88	124	-36	146	https://latesummer1x.travian.com/karte.php?x=-34&y=-34
354405	-38	-42	1	2609	Leg1on`s village	1951	Leg1on	0		15	15	0	146	https://latesummer1x.travian.com/karte.php?x=-38&y=-42
297612	40	29	1	1608	ANARCH`s village	1139	ANARCH	0		12	12	0	147	https://latesummer1x.travian.com/karte.php?x=40&y=29
300806	30	25	1	718	Karate_Kid`s village	464	Karate_Kid	0		10	10	0	147	https://latesummer1x.travian.com/karte.php?x=30&y=25
302405	27	23	2	309	FarDean`s village	208	FarDean	0		54	66	-12	147	https://latesummer1x.travian.com/karte.php?x=27&y=23
339996	-29	-24	3	585	PTR1`s village	370	PTR1	0		15	15	0	147	https://latesummer1x.travian.com/karte.php?x=-29&y=-24
295213	44	32	3	2245	VILL`s village	1595	VILL	0		33	33	0	148	https://latesummer1x.travian.com/karte.php?x=44&y=32
295215	46	32	1	2402	pearl	1526	pearl	0		32	75	-43	148	https://latesummer1x.travian.com/karte.php?x=46&y=32
296013	43	31	2	2178	T - REX	1502	T - REX	28	T P	23	33	-10	148	https://latesummer1x.travian.com/karte.php?x=43&y=31
300004	29	26	3	693	ZP-City	400	environprot	0		68	68	0	148	https://latesummer1x.travian.com/karte.php?x=29&y=26
302403	25	23	1	261	ildi`s village	181	ildi	0		62	65	-3	148	https://latesummer1x.travian.com/karte.php?x=25&y=23
343197	-32	-28	2	992	Mick1	681	Mick86	32	Gl4dius	84	108	-24	148	https://latesummer1x.travian.com/karte.php?x=-32&y=-28
344797	-34	-30	3	1221	PaccaRiattacca`s village	735	PaccaRiattacca	0		12	12	0	148	https://latesummer1x.travian.com/karte.php?x=-34&y=-30
